hour,horizon,sensor_idx,sensor_id,latitude,longitude,MAE,n_samples
0,5 min,89,767351.0,34.18022,-118.47022,1.2909,288
0,5 min,90,716571.0,34.2,-118.40337,1.6107,288
0,5 min,91,773023.0,34.05773,-118.24348,6.0587,288
0,5 min,92,767585.0,34.16556,-118.22432,0.9888,288
0,5 min,93,773024.0,34.05759,-118.24357,2.9313,288
0,5 min,94,717483.0,34.11684,-118.33698,1.5464,288
0,5 min,95,718379.0,34.14224,-118.27812,12.6047,288
0,5 min,96,717481.0,34.10634,-118.32826,4.3509,288
0,5 min,97,717480.0,34.10478,-118.32497,1.57,288
0,5 min,98,717486.0,34.12974,-118.34809,6.2002,288
0,5 min,99,764120.0,34.20164,-118.40366,0.6665,288
0,5 min,100,772151.0,34.16928,-118.49872,6.2135,288
0,5 min,101,718371.0,34.09017,-118.23849,3.1202,288
0,5 min,102,717489.0,34.13876,-118.36438,5.6433,288
0,5 min,103,717488.0,34.13561,-118.36006,8.0681,288
0,5 min,104,717818.0,34.1722,-118.46753,1.8357,288
0,5 min,105,718076.0,34.16339,-118.2253,1.1182,288
0,5 min,106,718072.0,34.1491,-118.2257,1.2877,288
0,5 min,107,767455.0,34.14347,-118.22704,1.3614,288
0,5 min,108,767454.0,34.14352,-118.22733,1.0409,288
0,5 min,109,761599.0,34.14226,-118.27786,1.0975,288
0,5 min,110,717099.0,34.15648,-118.24674,4.7276,288
0,5 min,111,773916.0,34.15247,-118.2852,2.3037,288
0,5 min,112,716968.0,34.16588,-118.29809,2.2638,288
0,5 min,113,769467.0,34.15451,-118.39699,3.8971,288
0,5 min,114,717576.0,34.15559,-118.2957,1.5194,288
0,5 min,115,717573.0,34.15384,-118.325,0.9222,288
0,5 min,116,717572.0,34.15351,-118.32751,1.3738,288
0,5 min,117,717571.0,34.15326,-118.35921,2.4447,288
0,5 min,118,717570.0,34.15302,-118.35921,0.7216,288
0,5 min,119,764760.0,34.13401,-118.35506,1.0928,288
0,5 min,120,718089.0,34.12769,-118.27372,5.9563,288
0,5 min,121,769847.0,34.20983,-118.22351,1.1389,288
0,5 min,122,717608.0,34.17154,-118.38812,16.3969,288
0,5 min,123,767523.0,34.11439,-118.24209,0.6733,288
0,5 min,124,716942.0,34.0593,-118.21451,4.0116,288
0,5 min,125,718090.0,34.14847,-118.27969,13.7179,288
0,5 min,126,769867.0,34.21846,-118.23931,3.736,288
0,5 min,127,717472.0,34.10045,-118.31601,7.2238,288
0,5 min,128,717473.0,34.10054,-118.31581,1.335,288
0,5 min,129,759591.0,34.11521,-118.26825,1.7286,288
0,5 min,130,764781.0,34.16037,-118.47012,5.9433,288
0,5 min,131,765099.0,34.16378,-118.47224,3.3747,288
0,5 min,132,762329.0,34.13904,-118.22862,1.5065,288
0,5 min,133,716953.0,34.09458,-118.24279,2.7544,288
0,5 min,134,716951.0,34.08581,-118.23182,2.305,288
0,5 min,135,767509.0,34.11059,-118.24819,1.8019,288
0,5 min,136,765182.0,34.06491,-118.25126,1.399,288
0,5 min,137,769358.0,34.15679,-118.42222,4.6804,288
0,5 min,138,772513.0,34.06871,-118.23661,4.6714,288
0,5 min,139,716958.0,34.11167,-118.26501,9.3502,288
0,5 min,140,718496.0,34.15403,-118.34232,4.5034,288
0,5 min,141,769346.0,34.15677,-118.40424,7.6088,288
0,5 min,142,773904.0,34.15641,-118.30266,2.3476,288
0,5 min,143,718499.0,34.15469,-118.31253,1.7318,288
0,5 min,144,764853.0,34.06461,-118.25102,7.1374,288
0,5 min,145,761003.0,34.15546,-118.30841,2.2356,288
0,5 min,146,717502.0,34.16521,-118.47484,3.6823,288
0,5 min,147,759602.0,34.12199,-118.27178,1.8766,288
0,5 min,148,717504.0,34.16519,-118.49166,6.7557,288
0,5 min,149,763995.0,34.21979,-118.40931,1.2696,288
0,5 min,150,717508.0,34.17112,-118.51814,4.7261,288
0,5 min,151,765265.0,34.18529,-118.47395,8.9811,288
0,5 min,152,773996.0,34.14511,-118.21587,1.3972,288
0,5 min,153,773995.0,34.14483,-118.21587,1.1817,288
0,5 min,154,717469.0,34.0971,-118.31366,1.5945,288
0,5 min,155,717468.0,34.09699,-118.31381,8.3722,288
0,5 min,156,764106.0,34.17169,-118.38801,3.9423,288
0,5 min,157,717465.0,34.09373,-118.30907,1.6766,288
0,5 min,158,764794.0,34.16028,-118.46808,4.0262,288
0,5 min,159,717466.0,34.09359,-118.30918,8.5498,288
0,5 min,160,717461.0,34.08558,-118.30174,14.5624,288
0,5 min,161,717460.0,34.08571,-118.30161,2.0594,288
0,5 min,162,717463.0,34.09004,-118.3059,2.2854,288
0,5 min,163,717462.0,34.08993,-118.30607,13.8114,288
0,5 min,164,769345.0,34.15655,-118.40441,4.5866,288
0,5 min,165,716943.0,34.05987,-118.21492,4.3209,288
0,5 min,166,772669.0,34.07828,-118.22834,2.353,288
0,5 min,167,717582.0,34.15646,-118.26092,2.2449,288
0,5 min,168,717583.0,34.15627,-118.25506,0.9551,288
0,5 min,169,717580.0,34.1562,-118.26359,1.1819,288
0,5 min,170,716949.0,34.08406,-118.22974,6.8321,288
0,5 min,171,717587.0,34.15402,-118.23893,0.8309,288
0,5 min,172,772178.0,34.16903,-118.49885,5.8071,288
0,5 min,173,717585.0,34.15564,-118.24188,0.9693,288
0,5 min,174,716939.0,34.04301,-118.21724,10.0978,288
0,5 min,175,768469.0,34.13583,-118.35993,1.9709,288
0,5 min,176,764101.0,34.16421,-118.38246,15.6552,288
0,5 min,177,767554.0,34.11966,-118.23143,1.1673,288
0,5 min,178,773975.0,34.14584,-118.22251,1.7743,288
0,5 min,179,773974.0,34.14559,-118.22251,1.691,288
0,5 min,180,717510.0,34.17128,-118.51976,6.2714,288
0,5 min,181,717513.0,34.17339,-118.5368,6.0534,288
0,5 min,182,717825.0,34.22164,-118.47307,0.729,288
0,5 min,183,767495.0,34.10377,-118.24992,1.5975,288
0,5 min,184,767494.0,34.10377,-118.24962,1.4823,288
0,5 min,185,717821.0,34.20112,-118.47361,7.8371,288
0,5 min,186,717823.0,34.20264,-118.47326,1.168,288
0,5 min,187,717458.0,34.08265,-118.29755,14.6632,288
0,5 min,188,717459.0,34.08294,-118.29729,2.8056,288
0,5 min,189,769926.0,34.21356,-118.23113,1.0348,288
0,5 min,190,764858.0,34.1527,-118.3754,1.362,288
0,5 min,191,717450.0,34.07488,-118.27362,6.1345,288
0,5 min,192,717452.0,34.07502,-118.27356,1.7729,288
0,5 min,193,717453.0,34.07696,-118.28093,8.2763,288
0,5 min,194,759772.0,34.17115,-118.30539,3.3519,288
0,5 min,195,717456.0,34.08102,-118.29325,3.674,288
0,5 min,196,771673.0,34.07787,-118.22871,1.6204,288
0,5 min,197,772167.0,34.16526,-118.47985,8.3054,288
0,5 min,198,769372.0,34.1027,-118.3173,1.6055,288
0,5 min,199,774204.0,34.15397,-118.34172,1.7383,288
0,5 min,200,769806.0,34.19638,-118.18442,0.797,288
0,5 min,201,717590.0,34.14929,-118.23182,2.8073,288
0,5 min,202,717592.0,34.14604,-118.2243,1.0166,288
0,5 min,203,717595.0,34.14163,-118.1829,0.6447,288
0,5 min,204,772168.0,34.16542,-118.47985,4.8199,288
0,5 min,205,718141.0,34.15133,-118.37456,1.0131,288
0,5 min,206,769373.0,34.10262,-118.31747,5.0843,288
0,15 min,0,773869.0,34.15497,-118.31829,1.077,288
0,15 min,1,767541.0,34.11621,-118.23799,0.9966,288
0,15 min,2,767542.0,34.11641,-118.23819,21.3373,288
0,15 min,3,717447.0,34.07248,-118.26772,1.7788,288
0,15 min,4,717446.0,34.07142,-118.26572,4.9753,288
0,15 min,5,717445.0,34.06913,-118.25932,3.4765,288
0,15 min,6,773062.0,34.05368,-118.23369,3.2625,288
0,15 min,7,767620.0,34.13486,-118.22932,1.6013,288
0,15 min,8,737529.0,34.20264,-118.47352,6.8039,288
0,15 min,9,717816.0,34.15562,-118.4686,7.1103,288
0,15 min,10,765604.0,34.16415,-118.38223,3.5421,288
0,15 min,11,767471.0,34.15691,-118.22469,2.2263,288
0,15 min,12,716339.0,34.07821,-118.28795,16.4815,288
0,15 min,13,773906.0,34.1566,-118.30266,1.2635,288
0,15 min,14,765273.0,34.18949,-118.47437,15.8524,288
0,15 min,15,716331.0,34.07006,-118.26246,6.077,288
0,15 min,16,771667.0,34.07314,-118.23388,1.6299,288
0,15 min,17,716337.0,34.07732,-118.28186,2.5259,288
0,15 min,18,769953.0,34.20672,-118.19992,1.3623,288
0,15 min,19,769402.0,34.12095,-118.33911,2.2844,288
0,15 min,20,769403.0,34.12073,-118.33928,4.5513,288
0,15 min,21,769819.0,34.20584,-118.19803,1.2815,288
0,15 min,22,769405.0,34.12634,-118.34482,7.371,288
0,15 min,23,716941.0,34.05767,-118.21435,8.4622,288
0,15 min,24,717578.0,34.15478,-118.27076,2.7679,288
0,15 min,25,716960.0,34.12121,-118.27164,9.3018,288
0,15 min,26,717804.0,34.09478,-118.47605,1.9684,288
0,15 min,27,767572.0,34.12967,-118.22871,1.2675,288
0,15 min,28,767573.0,34.12964,-118.22901,15.6298,288
0,15 min,29,773012.0,34.0839,-118.22086,9.0322,288
0,15 min,30,773013.0,34.08374,-118.22076,3.9046,288
0,15 min,31,764424.0,34.17878,-118.39469,1.5856,288
0,15 min,32,769388.0,34.11027,-118.33441,2.9962,288
0,15 min,33,716328.0,34.06664,-118.25397,1.8083,288
0,15 min,34,717819.0,34.18784,-118.47407,1.2334,288
0,15 min,35,769941.0,34.20699,-118.20237,1.2642,288
0,15 min,36,760987.0,34.15359,-118.34043,1.0642,288
0,15 min,37,718204.0,34.15541,-118.29575,1.4509,288
0,15 min,38,718045.0,34.06712,-118.23973,14.4595,288
0,15 min,39,769418.0,34.12659,-118.34465,1.3994,288
0,15 min,40,768066.0,34.15118,-118.3748,6.776,288
0,15 min,41,772140.0,34.16498,-118.47493,7.9972,288
0,15 min,42,773927.0,34.15262,-118.28034,5.403,288
0,15 min,43,760024.0,34.1593,-118.46483,6.5406,288
0,15 min,44,774012.0,34.14769,-118.20137,0.8369,288
0,15 min,45,774011.0,34.14747,-118.20123,0.7735,288
0,15 min,46,767609.0,34.18555,-118.21733,1.3348,288
0,15 min,47,769359.0,34.1566,-118.42216,8.2419,288
0,15 min,48,760650.0,34.07505,-118.23256,13.7552,288
0,15 min,49,716956.0,34.10658,-118.25544,2.6623,288
0,15 min,50,769831.0,34.20663,-118.20101,1.3379,288
0,15 min,51,761604.0,34.15407,-118.28711,3.4494,288
0,15 min,52,717495.0,34.15664,-118.41326,9.8848,288
0,15 min,53,716554.0,34.15597,-118.2666,4.6714,288
0,15 min,54,773953.0,34.15522,-118.29344,1.7274,288
0,15 min,55,767470.0,34.15699,-118.22436,1.3081,288
0,15 min,56,716955.0,34.09579,-118.24427,3.6684,288
0,15 min,57,764949.0,34.12881,-118.34684,1.2518,288
0,15 min,58,773954.0,34.15544,-118.29344,2.5107,288
0,15 min,59,767366.0,34.21216,-118.47341,4.5972,288
0,15 min,60,769444.0,34.15555,-118.43908,6.6488,288
0,15 min,61,773939.0,34.15297,-118.37226,8.9031,288
0,15 min,62,774067.0,34.15362,-118.28441,5.8186,288
0,15 min,63,769443.0,34.15574,-118.43931,5.8667,288
0,15 min,64,767750.0,34.09335,-118.20635,10.5418,288
0,15 min,65,767751.0,34.09335,-118.20616,2.9173,288
0,15 min,66,767610.0,34.18555,-118.21766,0.8318,288
0,15 min,67,773880.0,34.15367,-118.3484,0.7968,288
0,15 min,68,764766.0,34.13338,-118.3535,11.7066,288
0,15 min,69,717497.0,34.15685,-118.41456,6.9016,288
0,15 min,70,717490.0,34.14745,-118.37124,8.9665,288
0,15 min,71,717491.0,34.14761,-118.3711,1.362,288
0,15 min,72,717492.0,34.15459,-118.37935,3.1346,288
0,15 min,73,717493.0,34.15434,-118.39618,12.6516,288
0,15 min,74,765176.0,34.13286,-118.35135,1.0133,288
0,15 min,75,717498.0,34.15571,-118.43273,4.3807,288
0,15 min,76,717499.0,34.15666,-118.44808,9.4126,288
0,15 min,77,765171.0,34.16789,-118.46896,12.2816,288
0,15 min,78,718064.0,34.11296,-118.24489,18.2669,288
0,15 min,79,718066.0,34.12302,-118.22889,23.8439,288
0,15 min,80,765164.0,34.07898,-118.28911,2.0998,288
0,15 min,81,769431.0,34.15843,-118.45664,8.3916,288
0,15 min,82,769430.0,34.15818,-118.45658,8.5342,288
0,15 min,83,717610.0,34.17886,-118.39497,14.2911,288
0,15 min,84,767053.0,34.17091,-118.46775,12.1654,288
0,15 min,85,767621.0,34.13486,-118.22969,7.8621,288
0,15 min,86,772596.0,34.17126,-118.50495,8.2291,288
0,15 min,87,772597.0,34.17109,-118.50495,6.1066,288
0,15 min,88,767350.0,34.18011,-118.47045,17.071,288
0,15 min,89,767351.0,34.18022,-118.47022,1.2997,288
0,15 min,90,716571.0,34.2,-118.40337,1.8211,288
0,15 min,91,773023.0,34.05773,-118.24348,6.2386,288
0,15 min,92,767585.0,34.16556,-118.22432,0.9256,288
0,15 min,93,773024.0,34.05759,-118.24357,2.9301,288
0,15 min,94,717483.0,34.11684,-118.33698,1.5024,288
0,15 min,95,718379.0,34.14224,-118.27812,15.5952,288
0,15 min,96,717481.0,34.10634,-118.32826,4.2775,288
0,15 min,97,717480.0,34.10478,-118.32497,1.6383,288
0,15 min,98,717486.0,34.12974,-118.34809,8.0809,288
0,15 min,99,764120.0,34.20164,-118.40366,0.7045,288
0,15 min,100,772151.0,34.16928,-118.49872,7.7001,288
0,15 min,101,718371.0,34.09017,-118.23849,3.3276,288
0,15 min,102,717489.0,34.13876,-118.36438,6.1789,288
0,15 min,103,717488.0,34.13561,-118.36006,9.7257,288
0,15 min,104,717818.0,34.1722,-118.46753,1.7399,288
0,15 min,105,718076.0,34.16339,-118.2253,1.2992,288
0,15 min,106,718072.0,34.1491,-118.2257,1.1445,288
0,15 min,107,767455.0,34.14347,-118.22704,1.3457,288
0,15 min,108,767454.0,34.14352,-118.22733,0.8885,288
0,15 min,109,761599.0,34.14226,-118.27786,1.1759,288
0,15 min,110,717099.0,34.15648,-118.24674,6.8581,288
0,15 min,111,773916.0,34.15247,-118.2852,2.4005,288
0,15 min,112,716968.0,34.16588,-118.29809,2.3161,288
0,15 min,113,769467.0,34.15451,-118.39699,4.5781,288
0,15 min,114,717576.0,34.15559,-118.2957,1.5535,288
0,15 min,115,717573.0,34.15384,-118.325,0.9277,288
0,15 min,116,717572.0,34.15351,-118.32751,1.489,288
0,15 min,117,717571.0,34.15326,-118.35921,2.8237,288
0,15 min,118,717570.0,34.15302,-118.35921,0.7003,288
0,15 min,119,764760.0,34.13401,-118.35506,1.0965,288
0,15 min,120,718089.0,34.12769,-118.27372,8.2067,288
0,15 min,121,769847.0,34.20983,-118.22351,1.2292,288
0,15 min,122,717608.0,34.17154,-118.38812,19.5345,288
0,15 min,123,767523.0,34.11439,-118.24209,0.7237,288
0,15 min,124,716942.0,34.0593,-118.21451,4.3107,288
0,15 min,125,718090.0,34.14847,-118.27969,16.8696,288
0,15 min,126,769867.0,34.21846,-118.23931,3.575,288
0,15 min,127,717472.0,34.10045,-118.31601,8.6314,288
0,15 min,128,717473.0,34.10054,-118.31581,1.4409,288
0,15 min,129,759591.0,34.11521,-118.26825,2.0289,288
0,15 min,130,764781.0,34.16037,-118.47012,5.697,288
0,15 min,131,765099.0,34.16378,-118.47224,3.3773,288
0,15 min,132,762329.0,34.13904,-118.22862,1.9585,288
0,15 min,133,716953.0,34.09458,-118.24279,3.0894,288
0,15 min,134,716951.0,34.08581,-118.23182,3.0906,288
0,15 min,135,767509.0,34.11059,-118.24819,1.9009,288
0,15 min,136,765182.0,34.06491,-118.25126,1.4341,288
0,15 min,137,769358.0,34.15679,-118.42222,6.8501,288
0,15 min,138,772513.0,34.06871,-118.23661,4.3929,288
0,15 min,139,716958.0,34.11167,-118.26501,11.4852,288
0,15 min,140,718496.0,34.15403,-118.34232,4.8307,288
0,15 min,141,769346.0,34.15677,-118.40424,10.4206,288
0,15 min,142,773904.0,34.15641,-118.30266,2.0218,288
0,15 min,143,718499.0,34.15469,-118.31253,1.7743,288
0,15 min,144,764853.0,34.06461,-118.25102,7.4528,288
0,15 min,145,761003.0,34.15546,-118.30841,1.8973,288
0,15 min,146,717502.0,34.16521,-118.47484,3.9311,288
0,15 min,147,759602.0,34.12199,-118.27178,1.8752,288
0,15 min,148,717504.0,34.16519,-118.49166,7.9789,288
0,15 min,149,763995.0,34.21979,-118.40931,1.2942,288
0,15 min,150,717508.0,34.17112,-118.51814,6.3434,288
0,15 min,151,765265.0,34.18529,-118.47395,9.5055,288
0,15 min,152,773996.0,34.14511,-118.21587,1.5274,288
0,15 min,153,773995.0,34.14483,-118.21587,1.2358,288
0,15 min,154,717469.0,34.0971,-118.31366,1.6647,288
0,15 min,155,717468.0,34.09699,-118.31381,9.77,288
0,15 min,156,764106.0,34.17169,-118.38801,3.9759,288
0,15 min,157,717465.0,34.09373,-118.30907,1.7619,288
0,15 min,158,764794.0,34.16028,-118.46808,4.4653,288
0,15 min,159,717466.0,34.09359,-118.30918,10.0322,288
0,15 min,160,717461.0,34.08558,-118.30174,17.0241,288
0,15 min,161,717460.0,34.08571,-118.30161,2.2134,288
0,15 min,162,717463.0,34.09004,-118.3059,2.4174,288
0,15 min,163,717462.0,34.08993,-118.30607,16.1634,288
0,15 min,164,769345.0,34.15655,-118.40441,7.3548,288
0,15 min,165,716943.0,34.05987,-118.21492,7.4756,288
0,15 min,166,772669.0,34.07828,-118.22834,2.4577,288
0,15 min,167,717582.0,34.15646,-118.26092,3.0763,288
0,15 min,168,717583.0,34.15627,-118.25506,0.9232,288
0,15 min,169,717580.0,34.1562,-118.26359,1.5254,288
0,15 min,170,716949.0,34.08406,-118.22974,7.8959,288
0,15 min,171,717587.0,34.15402,-118.23893,0.8389,288
0,15 min,172,772178.0,34.16903,-118.49885,8.4065,288
0,15 min,173,717585.0,34.15564,-118.24188,1.0021,288
0,15 min,174,716939.0,34.04301,-118.21724,12.2562,288
0,15 min,175,768469.0,34.13583,-118.35993,2.0704,288
0,15 min,176,764101.0,34.16421,-118.38246,17.3016,288
0,15 min,177,767554.0,34.11966,-118.23143,1.1912,288
0,15 min,178,773975.0,34.14584,-118.22251,2.3212,288
0,15 min,179,773974.0,34.14559,-118.22251,1.6607,288
0,15 min,180,717510.0,34.17128,-118.51976,8.3202,288
0,15 min,181,717513.0,34.17339,-118.5368,9.4025,288
0,15 min,182,717825.0,34.22164,-118.47307,0.7831,288
0,15 min,183,767495.0,34.10377,-118.24992,1.4763,288
0,15 min,184,767494.0,34.10377,-118.24962,1.5116,288
0,15 min,185,717821.0,34.20112,-118.47361,9.1665,288
0,15 min,186,717823.0,34.20264,-118.47326,1.2013,288
0,15 min,187,717458.0,34.08265,-118.29755,17.0458,288
0,15 min,188,717459.0,34.08294,-118.29729,2.977,288
0,15 min,189,769926.0,34.21356,-118.23113,1.0782,288
0,15 min,190,764858.0,34.1527,-118.3754,1.4886,288
0,15 min,191,717450.0,34.07488,-118.27362,6.6834,288
0,15 min,192,717452.0,34.07502,-118.27356,1.9212,288
0,15 min,193,717453.0,34.07696,-118.28093,9.0105,288
0,15 min,194,759772.0,34.17115,-118.30539,4.7414,288
0,15 min,195,717456.0,34.08102,-118.29325,3.8091,288
0,15 min,196,771673.0,34.07787,-118.22871,1.6637,288
0,15 min,197,772167.0,34.16526,-118.47985,7.0867,288
0,15 min,198,769372.0,34.1027,-118.3173,1.5751,288
0,15 min,199,774204.0,34.15397,-118.34172,2.1487,288
0,15 min,200,769806.0,34.19638,-118.18442,0.8749,288
0,15 min,201,717590.0,34.14929,-118.23182,4.5264,288
0,15 min,202,717592.0,34.14604,-118.2243,1.0175,288
0,15 min,203,717595.0,34.14163,-118.1829,0.7479,288
0,15 min,204,772168.0,34.16542,-118.47985,5.9948,288
0,15 min,205,718141.0,34.15133,-118.37456,1.0741,288
